controller	method	step	fired	zvf_obs	Gstar	zvf_target	cost_ratio	delta_z	net_benefit
DUALFORMER_AUTO_d4	aero	32	1	0.7500	12	0.7648	1.5000	-0.0148	-0.2648
DUALFORMER_AUTO_d4	aero	33	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	34	1	0.8750	12	0.8878	1.5000	-0.0128	-0.2628
DUALFORMER_AUTO_d4	aero	35	1	0.8125	12	0.8271	1.5000	-0.0146	-0.2646
DUALFORMER_AUTO_d4	aero	36	1	0.8125	12	0.8290	1.5000	-0.0165	-0.2665
DUALFORMER_AUTO_d4	aero	37	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	38	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	aero	39	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	gift	0	1	0.7500	12	0.7542	1.5000	-0.0042	-0.2542
DUALFORMER_AUTO_d4	gift	1	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	gift	2	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	gift	3	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	gift	4	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	gift	5	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	gift	6	1	0.7500	12	0.7650	1.5000	-0.0150	-0.2650
DUALFORMER_AUTO_d4	gift	7	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	gift	8	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	gift	9	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	gift	10	1	0.7500	12	0.7878	1.5000	-0.0378	-0.2878
DUALFORMER_AUTO_d4	gift	11	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	gift	12	1	0.7500	12	0.7668	1.5000	-0.0168	-0.2668
DUALFORMER_AUTO_d4	gift	13	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	gift	14	1	0.8125	12	0.8253	1.5000	-0.0128	-0.2628
DUALFORMER_AUTO_d4	gift	15	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	gift	16	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	gift	17	1	0.7500	12	0.7501	1.5000	-0.0001	-0.2501
DUALFORMER_AUTO_d4	gift	18	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	gift	19	1	0.7500	12	0.7772	1.5000	-0.0272	-0.2772
DUALFORMER_AUTO_d4	gift	20	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	gift	21	1	0.7500	12	0.7650	1.5000	-0.0150	-0.2650
DUALFORMER_AUTO_d4	gift	22	1	0.8750	12	0.8878	1.5000	-0.0128	-0.2628
DUALFORMER_AUTO_d4	gift	23	1	0.8750	12	0.8878	1.5000	-0.0128	-0.2628
DUALFORMER_AUTO_d4	gift	24	1	0.8750	12	0.9002	1.5000	-0.0252	-0.2752
DUALFORMER_AUTO_d4	gift	25	1	0.7500	12	0.7542	1.5000	-0.0042	-0.2542
DUALFORMER_AUTO_d4	gift	26	1	0.8125	12	0.8379	1.5000	-0.0254	-0.2754
DUALFORMER_AUTO_d4	gift	27	1	0.9375	12	0.9395	1.5000	-0.0020	-0.2520
DUALFORMER_AUTO_d4	gift	28	1	0.8750	12	0.8896	1.5000	-0.0146	-0.2646
DUALFORMER_AUTO_d4	gift	29	1	0.9375	12	0.9377	1.5000	-0.0002	-0.2502
DUALFORMER_AUTO_d4	gift	30	1	0.8750	12	0.8770	1.5000	-0.0020	-0.2520
DUALFORMER_AUTO_d4	gift	31	1	0.9375	12	0.9501	1.5000	-0.0126	-0.2626
DUALFORMER_AUTO_d4	gift	32	1	0.7500	12	0.7756	1.5000	-0.0256	-0.2756
