cost_llm	cost_ratio	rate	tree	rule	n_test_eff	n_llm_calls	n_pos_caught_at_K	cpd_usd	cpf_usd
0.03	300.0	0.005	XGB-4sensor	gradient_band	10000	49	31	0.00024651	0.07951935483870969
0.03	300.0	0.005	XGB-4sensor	absolute_band	10000	0	31	0.0001	0.03225806451612903
0.03	300.0	0.001	XGB-20raw	xgb_only	10000	0	10	0.0001	0.1
0.03	300.0	0.001	XGB-20raw	gradient_band	10000	48	10	0.00024352	0.24352000000000001
0.03	300.0	0.001	XGB-20raw	absolute_band	10000	0	10	0.0001	0.1
0.03	300.0	0.001	XGB-24full	xgb_only	10000	0	10	0.0001	0.1
0.03	300.0	0.001	XGB-24full	gradient_band	10000	53	10	0.00025846999999999996	0.25847
0.03	300.0	0.001	XGB-24full	absolute_band	10000	0	10	0.0001	0.1
0.03	300.0	0.001	XGB-4sensor	xgb_only	10000	0	6	0.0001	0.16666666666666666
0.03	300.0	0.001	XGB-4sensor	gradient_band	10000	57	6	0.00027043	0.45071666666666665
0.03	300.0	0.001	XGB-4sensor	absolute_band	10000	0	6	0.0001	0.16666666666666666
0.03	300.0	0.0005	XGB-20raw	xgb_only	10000	0	5	0.0001	0.2
0.03	300.0	0.0005	XGB-20raw	gradient_band	10000	51	5	0.00025248999999999996	0.50498
0.03	300.0	0.0005	XGB-20raw	absolute_band	10000	0	5	0.0001	0.2
0.03	300.0	0.0005	XGB-24full	xgb_only	10000	0	5	0.0001	0.2
0.03	300.0	0.0005	XGB-24full	gradient_band	10000	57	5	0.00027043	0.54086
0.03	300.0	0.0005	XGB-24full	absolute_band	10000	0	5	0.0001	0.2
0.03	300.0	0.0005	XGB-4sensor	xgb_only	10000	0	2	0.0001	0.5
0.03	300.0	0.0005	XGB-4sensor	gradient_band	10000	59	2	0.00027641	1.38205
0.03	300.0	0.0005	XGB-4sensor	absolute_band	10000	0	2	0.0001	0.5
0.1	1000.0	0.0144	XGB-20raw	xgb_only	10000	0	141	0.0001	0.0070921985815602835
0.1	1000.0	0.0144	XGB-20raw	gradient_band	10000	9	141	0.00018991	0.013468794326241134
0.1	1000.0	0.0144	XGB-20raw	absolute_band	10000	21	141	0.00030979	0.021970921985815604
0.1	1000.0	0.0144	XGB-24full	xgb_only	10000	0	143	0.0001	0.006993006993006993
0.1	1000.0	0.0144	XGB-24full	gradient_band	10000	9	143	0.00018991	0.01328041958041958
0.1	1000.0	0.0144	XGB-24full	absolute_band	10000	22	143	0.00031978	0.022362237762237763
0.1	1000.0	0.0144	XGB-4sensor	xgb_only	10000	0	78	0.0001	0.01282051282051282
0.1	1000.0	0.0144	XGB-4sensor	gradient_band	10000	39	78	0.00048961	0.06277051282051282
0.1	1000.0	0.0144	XGB-4sensor	absolute_band	10000	1	78	0.00010999000000000001	0.014101282051282053
0.1	1000.0	0.01	XGB-20raw	xgb_only	10000	0	100	0.0001	0.01
0.1	1000.0	0.01	XGB-20raw	gradient_band	10000	16	100	0.00025984	0.025983999999999997
0.1	1000.0	0.01	XGB-20raw	absolute_band	10000	14	100	0.00023986	0.023986
0.1	1000.0	0.01	XGB-24full	xgb_only	10000	0	99	0.0001	0.010101010101010102
0.1	1000.0	0.01	XGB-24full	gradient_band	10000	16	99	0.00025984	0.026246464646464646
0.1	1000.0	0.01	XGB-24full	absolute_band	10000	12	99	0.00021988000000000004	0.022210101010101013
0.1	1000.0	0.01	XGB-4sensor	xgb_only	10000	0	56	0.0001	0.017857142857142856
0.1	1000.0	0.01	XGB-4sensor	gradient_band	10000	42	56	0.0005195800000000001	0.09278214285714285
0.1	1000.0	0.01	XGB-4sensor	absolute_band	10000	0	56	0.0001	0.017857142857142856
0.1	1000.0	0.005	XGB-20raw	xgb_only	10000	0	50	0.0001	0.02
0.1	1000.0	0.005	XGB-20raw	gradient_band	10000	33	50	0.00042966999999999994	0.085934
0.1	1000.0	0.005	XGB-20raw	absolute_band	10000	7	50	0.00016993	0.033986
0.1	1000.0	0.005	XGB-24full	xgb_only	10000	0	50	0.0001	0.02
0.1	1000.0	0.005	XGB-24full	gradient_band	10000	40	50	0.0004996	0.09992000000000001
0.1	1000.0	0.005	XGB-24full	absolute_band	10000	6	50	0.00015994000000000002	0.031988
0.1	1000.0	0.005	XGB-4sensor	xgb_only	10000	0	31	0.0001	0.03225806451612903
0.1	1000.0	0.005	XGB-4sensor	gradient_band	10000	49	31	0.00058951	0.19016451612903226
0.1	1000.0	0.005	XGB-4sensor	absolute_band	10000	0	31	0.0001	0.03225806451612903
0.1	1000.0	0.001	XGB-20raw	xgb_only	10000	0	10	0.0001	0.1
0.1	1000.0	0.001	XGB-20raw	gradient_band	10000	48	10	0.00057952	0.57952
0.1	1000.0	0.001	XGB-20raw	absolute_band	10000	0	10	0.0001	0.1
0.1	1000.0	0.001	XGB-24full	xgb_only	10000	0	10	0.0001	0.1
0.1	1000.0	0.001	XGB-24full	gradient_band	10000	53	10	0.0006294699999999999	0.62947
