seed	rate_pct	fset	tier	utility	opt_tau	n_pos_te	tp	fp	alerted	fn	precision	recall	f1	cost_per_caught
20260706	1.0	20raw	cheap_heuristic	VALUE	0.596	100	100	118	218	0	0.45871559633027525	1.0	0.628930817610063	0.00021799999999999999
20260706	1.0	20raw	cheap_heuristic	PREC_CONSTRAINED	0.626	100	99	99	198	1	0.5	0.99	0.6644295302013423	0.0002
20260706	1.0	20raw	cheap_heuristic	COST_CONSTRAINED	0.001	100	100	9843	9943	0	0.010057326762546516	1.0	0.019914368216668327	0.009943
20260706	1.0	20raw	small_open	F1	0.806	100	78	19	97	22	0.8041237113402062	0.78	0.7918781725888325	0.000746153846153846
20260706	1.0	20raw	small_open	VALUE	0.596	100	100	118	218	0	0.45871559633027525	1.0	0.628930817610063	0.001308
20260706	1.0	20raw	small_open	PREC_CONSTRAINED	0.626	100	99	99	198	1	0.5	0.99	0.6644295302013423	0.0012
20260706	1.0	20raw	small_open	COST_CONSTRAINED	0.001	100	100	9843	9943	0	0.010057326762546516	1.0	0.019914368216668327	0.059657999999999996
20260706	1.0	20raw	iter120_default	F1	0.806	100	78	19	97	22	0.8041237113402062	0.78	0.7918781725888325	0.0012435897435897436
20260706	1.0	20raw	iter120_default	VALUE	0.596	100	100	118	218	0	0.45871559633027525	1.0	0.628930817610063	0.00218
20260706	1.0	20raw	iter120_default	PREC_CONSTRAINED	0.626	100	99	99	198	1	0.5	0.99	0.6644295302013423	0.002
20260706	1.0	20raw	iter120_default	COST_CONSTRAINED	0.001	100	100	9843	9943	0	0.010057326762546516	1.0	0.019914368216668327	0.09942999999999999
20260706	1.0	20raw	mid_tier	F1	0.806	100	78	19	97	22	0.8041237113402062	0.78	0.7918781725888325	0.006217948717948718
20260706	1.0	20raw	mid_tier	VALUE	0.596	100	100	118	218	0	0.45871559633027525	1.0	0.628930817610063	0.0109
20260706	1.0	20raw	mid_tier	PREC_CONSTRAINED	0.626	100	99	99	198	1	0.5	0.99	0.6644295302013423	0.01
20260706	1.0	20raw	mid_tier	COST_CONSTRAINED	0.001	100	100	9843	9943	0	0.010057326762546516	1.0	0.019914368216668327	0.49715000000000004
20260706	1.0	20raw	frontier_gpt4	F1	0.806	100	78	19	97	22	0.8041237113402062	0.78	0.7918781725888325	0.037307692307692306
20260706	1.0	20raw	frontier_gpt4	VALUE	0.596	100	100	118	218	0	0.45871559633027525	1.0	0.628930817610063	0.0654
20260706	1.0	20raw	frontier_gpt4	PREC_CONSTRAINED	0.626	100	99	99	198	1	0.5	0.99	0.6644295302013423	0.06
20260706	1.0	20raw	frontier_gpt4	COST_CONSTRAINED	0.001	100	100	9843	9943	0	0.010057326762546516	1.0	0.019914368216668327	2.9828999999999994
20260706	1.0	20raw+minmax	cheap_heuristic	F1	0.781	100	83	23	106	17	0.7830188679245284	0.83	0.8058252427184467	0.000127710843373494
20260706	1.0	20raw+minmax	cheap_heuristic	VALUE	0.501	100	100	202	302	0	0.33112582781456956	1.0	0.49751243781094534	0.000302
20260706	1.0	20raw+minmax	cheap_heuristic	PREC_CONSTRAINED	0.626	100	96	96	192	4	0.5	0.96	0.6575342465753424	0.0002
20260706	1.0	20raw+minmax	cheap_heuristic	COST_CONSTRAINED	0.001	100	100	9849	9949	0	0.01005126143330988	1.0	0.019902477858493382	0.009949
20260706	1.0	20raw+minmax	small_open	F1	0.781	100	83	23	106	17	0.7830188679245284	0.83	0.8058252427184467	0.0007662650602409637
20260706	1.0	20raw+minmax	small_open	VALUE	0.501	100	100	202	302	0	0.33112582781456956	1.0	0.49751243781094534	0.0018119999999999998
20260706	1.0	20raw+minmax	small_open	PREC_CONSTRAINED	0.626	100	96	96	192	4	0.5	0.96	0.6575342465753424	0.0012
20260706	1.0	20raw+minmax	small_open	COST_CONSTRAINED	0.001	100	100	9849	9949	0	0.01005126143330988	1.0	0.019902477858493382	0.059694
20260706	1.0	20raw+minmax	iter120_default	F1	0.781	100	83	23	106	17	0.7830188679245284	0.83	0.8058252427184467	0.0012771084337349398
20260706	1.0	20raw+minmax	iter120_default	VALUE	0.501	100	100	202	302	0	0.33112582781456956	1.0	0.49751243781094534	0.00302
20260706	1.0	20raw+minmax	iter120_default	PREC_CONSTRAINED	0.626	100	96	96	192	4	0.5	0.96	0.6575342465753424	0.002
20260706	1.0	20raw+minmax	iter120_default	COST_CONSTRAINED	0.001	100	100	9849	9949	0	0.01005126143330988	1.0	0.019902477858493382	0.09949
20260706	1.0	20raw+minmax	mid_tier	F1	0.781	100	83	23	106	17	0.7830188679245284	0.83	0.8058252427184467	0.006385542168674699
20260706	1.0	20raw+minmax	mid_tier	VALUE	0.501	100	100	202	302	0	0.33112582781456956	1.0	0.49751243781094534	0.0151
20260706	1.0	20raw+minmax	mid_tier	PREC_CONSTRAINED	0.626	100	96	96	192	4	0.5	0.96	0.6575342465753424	0.01
20260706	1.0	20raw+minmax	mid_tier	COST_CONSTRAINED	0.001	100	100	9849	9949	0	0.01005126143330988	1.0	0.019902477858493382	0.49745000000000006
20260706	1.0	20raw+minmax	frontier_gpt4	F1	0.781	100	83	23	106	17	0.7830188679245284	0.83	0.8058252427184467	0.03831325301204819
20260706	1.0	20raw+minmax	frontier_gpt4	VALUE	0.501	100	100	202	302	0	0.33112582781456956	1.0	0.49751243781094534	0.0906
20260706	1.0	20raw+minmax	frontier_gpt4	PREC_CONSTRAINED	0.626	100	96	96	192	4	0.5	0.96	0.6575342465753424	0.06
20260706	1.0	20raw+minmax	frontier_gpt4	COST_CONSTRAINED	0.001	100	100	9849	9949	0	0.01005126143330988	1.0	0.019902477858493382	2.9846999999999997
20260706	1.0	20raw+stat	cheap_heuristic	F1	0.751	100	87	34	121	13	0.71900826446281	0.87	0.7873303167420814	0.00013908045977011497
20260706	1.0	20raw+stat	cheap_heuristic	VALUE	0.576	100	100	144	244	0	0.4098360655737705	1.0	0.5813953488372093	0.00024400000000000002
20260706	1.0	20raw+stat	cheap_heuristic	PREC_CONSTRAINED	0.626	100	97	95	192	3	0.5052083333333334	0.97	0.6643835616438356	0.00019793814432989693
20260706	1.0	20raw+stat	cheap_heuristic	COST_CONSTRAINED	0.001	100	100	9844	9944	0	0.01005631536604988	1.0	0.019912385503783357	0.009944000000000001
20260706	1.0	20raw+stat	small_open	F1	0.751	100	87	34	121	13	0.71900826446281	0.87	0.7873303167420814	0.0008344827586206896
20260706	1.0	20raw+stat	small_open	VALUE	0.576	100	100	144	244	0	0.4098360655737705	1.0	0.5813953488372093	0.0014639999999999998
20260706	1.0	20raw+stat	small_open	PREC_CONSTRAINED	0.626	100	97	95	192	3	0.5052083333333334	0.97	0.6643835616438356	0.0011876288659793813
20260706	1.0	20raw+stat	small_open	COST_CONSTRAINED	0.001	100	100	9844	9944	0	0.01005631536604988	1.0	0.019912385503783357	0.059663999999999995
20260706	1.0	20raw+stat	iter120_default	F1	0.751	100	87	34	121	13	0.71900826446281	0.87	0.7873303167420814	0.0013908045977011495
20260706	1.0	20raw+stat	iter120_default	VALUE	0.576	100	100	144	244	0	0.4098360655737705	1.0	0.5813953488372093	0.00244
20260706	1.0	20raw+stat	iter120_default	PREC_CONSTRAINED	0.626	100	97	95	192	3	0.5052083333333334	0.97	0.6643835616438356	0.0019793814432989693
20260706	1.0	20raw+stat	iter120_default	COST_CONSTRAINED	0.001	100	100	9844	9944	0	0.01005631536604988	1.0	0.019912385503783357	0.09944000000000001
20260706	1.0	20raw+stat	mid_tier	F1	0.751	100	87	34	121	13	0.71900826446281	0.87	0.7873303167420814	0.006954022988505747
20260706	1.0	20raw+stat	mid_tier	VALUE	0.576	100	100	144	244	0	0.4098360655737705	1.0	0.5813953488372093	0.012199999999999999
20260706	1.0	20raw+stat	mid_tier	PREC_CONSTRAINED	0.626	100	97	95	192	3	0.5052083333333334	0.97	0.6643835616438356	0.009896907216494845
20260706	1.0	20raw+stat	mid_tier	COST_CONSTRAINED	0.001	100	100	9844	9944	0	0.01005631536604988	1.0	0.019912385503783357	0.4972
20260706	1.0	20raw+stat	frontier_gpt4	F1	0.751	100	87	34	121	13	0.71900826446281	0.87	0.7873303167420814	0.04172413793103448
20260706	1.0	20raw+stat	frontier_gpt4	VALUE	0.576	100	100	144	244	0	0.4098360655737705	1.0	0.5813953488372093	0.07319999999999999
20260706	1.0	20raw+stat	frontier_gpt4	PREC_CONSTRAINED	0.626	100	97	95	192	3	0.5052083333333334	0.97	0.6643835616438356	0.05938144329896907
20260706	1.0	20raw+stat	frontier_gpt4	COST_CONSTRAINED	0.001	100	100	9844	9944	0	0.01005631536604988	1.0	0.019912385503783357	2.9832
20260706	0.5	24full	cheap_heuristic	F1	0.756	50	46	31	77	4	0.5974025974025974	0.92	0.7244094488188978	0.0001673913043478261
20260706	0.5	24full	cheap_heuristic	VALUE	0.566	50	50	131	181	0	0.27624309392265195	1.0	0.43290043290043295	0.000362
20260706	0.5	24full	cheap_heuristic	PREC_CONSTRAINED	0.706	50	47	46	93	3	0.5053763440860215	0.94	0.6573426573426574	0.00019787234042553193
20260706	0.5	24full	cheap_heuristic	COST_CONSTRAINED	0.001	50	50	9847	9897	0	0.0050520359704961096	1.0	0.010053282396702522	0.019794
