anchor	k	r2_sat	r2_const	r2_linear	delta_sat_const
Nemotron-120B	11	-0.02253795370915168	-0.04166666666666674	-0.007988980716253424	0.01912871295751506
Nemotron-120B	12	-0.04702900114211883	-0.1914893617021276	-0.062104685970181706	0.14446036056000877
Nemotron-120B	13	-0.0006546910127542827	-0.6578947368421055	-0.055434444098411806	0.6572400458293512
Nemotron-120B	14	-0.03027660464784665	-0.8620689655172415	-0.34947220267417345	0.8317923608693949
Nemotron-120B	15	-0.010175439318272694	-0.04166666666666652	-0.11559901738473144	0.031491227348393824
Nemotron-120B	16	-0.12055964278427567	-1.0	-0.46304065743944633	0.8794403572157243
Nemotron-120B	17	-0.5868512088580815	-1.9999999999999996	-1.3846417243367934	1.413148791141918
Kimi-K2-Thinking	3	-0.521718470976474	-0.9184027777777777	-0.5216049382716033	0.39668430680130373
Kimi-K2-Thinking	4	-0.7065590202490044	-1.035225048923679	-2.675929549902145	0.32866602867467454
Kimi-K2-Thinking	5	-0.30384432284388496	-0.1708860759493671	-2.4873417721519244	-0.13295824689451785
Kimi-K2-Thinking	6	-0.4746263846676324	-1.0677966101694913	0.058595641646489005	0.5931702255018589
Kimi-K2-Thinking	7	-0.2483634530422585	-0.1289473684210527	-0.7855800214822668	-0.11941608462120579
Kimi-K2-Thinking	8	-0.40947545772759053	-1.1176470588235294	0.05211558307533537	0.7081716010959389
Kimi-K2-Thinking	9	-0.24256694379331467	-0.08503401360544216	-0.11128222894096318	-0.1575329301878725
Kimi-K2-Thinking	10	-0.24244185238407923	-0.13636363636363646	0.027492556418175162	-0.10607821602044276
Kimi-K2-Thinking	11	-0.42166522297227393	-1.2075471698113205	-0.07261811944487495	0.7858819468390466
Kimi-K2-Thinking	12	-0.7111380152179247	-1.6	-0.5715606848473926	0.8888619847820753
Kimi-K2-Thinking	13	-1.2658697119553906	-2.3703703703703707	-1.4252684637300042	1.1045006584149801
Kimi-K2-Thinking	14	-0.6530845201535904	-2.0	-0.09000523286237483	1.3469154798464096
Kimi-K2-Thinking	15	-0.823068683736486	-0.6666666666666663	-0.24607767489712185	-0.1564020170698197
Kimi-K2-Thinking	16	-0.5625489488877573	-49.0	-5.14173875432523	48.43745105111224
Kimi-K2-Thinking	17	-1.3564774543452627	-1.9999999999999996	-2.258055795847748	0.6435225456547369
