method	step	controller	rollouts_used	contrast_intent	contrast_magnitude	baseline_contrast_magnitude	contrast_restored	cost_ratio
areal	19	DUALFORMER_PP	156	4	3.8998	3.7842	0.1156	1.2188
areal	19	STATIC_G16	256	4	3.98	3.7842	0.1958	2.0
areal	19	STATIC_G8	128	4	3.7842	3.7842	0.0	1.0
areal	20	ADAPTIVE_PP	168	5	4.98	4.7764	0.2036	1.3125
areal	20	ADAPTIVE_PP_ORACLE	408	5	5.0	4.7764	0.2236	3.1875
areal	20	DUALFORMER_PP	110	5	4.8998	4.7764	0.1234	0.8594
areal	20	STATIC_G16	256	5	4.98	4.7764	0.2036	2.0
areal	20	STATIC_G8	128	5	4.7764	4.7764	0.0	1.0
areal	21	ADAPTIVE_PP	168	5	4.5276	3.6178	0.9098	1.3125
areal	21	ADAPTIVE_PP_ORACLE	408	5	4.9992	3.6178	1.3814	3.1875
areal	21	DUALFORMER_PP	110	5	3.7994	3.6178	0.1816	0.8594
areal	21	STATIC_G16	256	5	4.5276	3.6178	0.9098	2.0
areal	21	STATIC_G8	128	5	3.6178	3.6178	0.0	1.0
areal	22	ADAPTIVE_PP	152	3	2.7638	2.305	0.4588	1.1875
areal	22	ADAPTIVE_PP_ORACLE	296	3	2.9996	2.305	0.6946	2.3125
areal	22	DUALFORMER_PP	78	3	2.3997	2.305	0.0947	0.6094
areal	22	STATIC_G16	256	3	2.7638	2.305	0.4588	2.0
areal	22	STATIC_G8	128	3	2.305	2.305	0.0	1.0
areal	23	ADAPTIVE_PP	152	3	2.8714	2.5326	0.3388	1.1875
areal	23	ADAPTIVE_PP_ORACLE	296	3	2.9998	2.5326	0.4672	2.3125
areal	23	DUALFORMER_PP	100	3	2.3135	2.5326	-0.2191	0.7812
areal	23	STATIC_G16	256	3	2.8714	2.5326	0.3388	2.0
areal	23	STATIC_G8	128	3	2.5326	2.5326	0.0	1.0
areal	24	ADAPTIVE_PP	144	2	1.8719	1.5563	0.3156	1.125
areal	24	ADAPTIVE_PP_ORACLE	240	2	1.9998	1.5563	0.4435	1.875
areal	24	DUALFORMER_PP	68	2	1.886	1.5563	0.3297	0.5312
areal	24	STATIC_G16	256	2	1.8719	1.5563	0.3156	2.0
areal	24	STATIC_G8	128	2	1.5563	1.5563	0.0	1.0
areal	25	ADAPTIVE_PP	176	6	5.978	5.705	0.273	1.375
areal	25	ADAPTIVE_PP_ORACLE	464	6	6.0	5.705	0.295	3.625
areal	25	DUALFORMER_PP	140	6	5.8983	5.705	0.1933	1.0938
areal	25	STATIC_G16	256	6	5.978	5.705	0.273	2.0
areal	25	STATIC_G8	128	6	5.705	5.705	0.0	1.0
areal	26	ADAPTIVE_PP	144	2	1.9895	1.8762	0.1133	1.125
areal	26	ADAPTIVE_PP_ORACLE	240	2	2.0	1.8762	0.1238	1.875
areal	26	DUALFORMER_PP	112	2	1.8994	1.8762	0.0232	0.875
areal	26	STATIC_G16	256	2	1.9895	1.8762	0.1133	2.0
areal	26	STATIC_G8	128	2	1.8762	1.8762	0.0	1.0
areal	27	ADAPTIVE_PP	136	1	0.99	0.8999	0.0901	1.0625
areal	27	ADAPTIVE_PP_ORACLE	184	1	1.0	0.8999	0.1001	1.4375
areal	27	DUALFORMER_PP	62	1	0.9999	0.8999	0.1	0.4844
areal	27	STATIC_G16	256	1	0.99	0.8999	0.0901	2.0
areal	27	STATIC_G8	128	1	0.8999	0.8999	0.0	1.0
areal	28	ADAPTIVE_PP	144	2	1.8814	1.6327	0.2487	1.125
areal	28	ADAPTIVE_PP_ORACLE	240	2	1.9998	1.6327	0.3671	1.875
areal	28	DUALFORMER_PP	78	2	1.4131	1.6327	-0.2196	0.6094
areal	28	STATIC_G16	256	2	1.8814	1.6327	0.2487	2.0
areal	28	STATIC_G8	128	2	1.6327	1.6327	0.0	1.0
areal	29	ADAPTIVE_PP	152	3	2.7638	2.305	0.4588	1.1875
areal	29	ADAPTIVE_PP_ORACLE	296	3	2.9996	2.305	0.6946	2.3125
areal	29	DUALFORMER_PP	50	3	1.8272	2.305	-0.4778	0.3906
